Step,r_semeval_no_super_5000_ff - unique_paths,r_semeval_no_super_5000_ff - unique_paths__MIN,r_semeval_no_super_5000_ff - unique_paths__MAX,r_semeval_400_1.0_32_5000_ff - unique_paths,r_semeval_400_1.0_32_5000_ff - unique_paths__MIN,r_semeval_400_1.0_32_5000_ff - unique_paths__MAX,r_semeval_100_1.0_32_5000_ff - unique_paths,r_semeval_100_1.0_32_5000_ff - unique_paths__MIN,r_semeval_100_1.0_32_5000_ff - unique_paths__MAX,r_semeval_300_1.0_32_5000_ff - unique_paths,r_semeval_300_1.0_32_5000_ff - unique_paths__MIN,r_semeval_300_1.0_32_5000_ff - unique_paths__MAX,r_semeval_200_1.0_32_5000_ff - unique_paths,r_semeval_200_1.0_32_5000_ff - unique_paths__MIN,r_semeval_200_1.0_32_5000_ff - unique_paths__MAX
157,65959,65959,65959,13574,13574,13574,30001,30001,30001,14495,14495,14495,20498,20498,20498
158,66282,66282,66282,13643,13643,13643,30104,30104,30104,14528,14528,14528,20591,20591,20591
159,66587,66587,66587,13703,13703,13703,30223,30223,30223,14575,14575,14575,20679,20679,20679
160,66877,66877,66877,13767,13767,13767,30375,30375,30375,14626,14626,14626,20756,20756,20756
161,67134,67134,67134,13823,13823,13823,30495,30495,30495,14675,14675,14675,20850,20850,20850
162,67396,67396,67396,13884,13884,13884,30618,30618,30618,14724,14724,14724,20937,20937,20937
163,67728,67728,67728,13942,13942,13942,30743,30743,30743,14777,14777,14777,21019,21019,21019
164,68041,68041,68041,13997,13997,13997,30878,30878,30878,14835,14835,14835,21099,21099,21099
165,68385,68385,68385,14052,14052,14052,31019,31019,31019,14889,14889,14889,21180,21180,21180
166,68716,68716,68716,14111,14111,14111,31153,31153,31153,14941,14941,14941,21264,21264,21264
167,69005,69005,69005,14163,14163,14163,31291,31291,31291,15026,15026,15026,21364,21364,21364
168,69341,69341,69341,14248,14248,14248,31410,31410,31410,15081,15081,15081,21460,21460,21460
169,69667,69667,69667,14308,14308,14308,31512,31512,31512,15123,15123,15123,21546,21546,21546
170,70007,70007,70007,14375,14375,14375,31643,31643,31643,15169,15169,15169,21647,21647,21647
171,70334,70334,70334,14448,14448,14448,31785,31785,31785,15217,15217,15217,21757,21757,21757
172,70626,70626,70626,14500,14500,14500,31912,31912,31912,15273,15273,15273,21861,21861,21861
173,70939,70939,70939,14557,14557,14557,32063,32063,32063,15319,15319,15319,21965,21965,21965
174,71231,71231,71231,14626,14626,14626,32211,32211,32211,15374,15374,15374,22060,22060,22060
175,71543,71543,71543,14686,14686,14686,32332,32332,32332,15404,15404,15404,22138,22138,22138
176,71815,71815,71815,14741,14741,14741,32471,32471,32471,15467,15467,15467,22210,22210,22210
177,72090,72090,72090,14796,14796,14796,32627,32627,32627,15526,15526,15526,22287,22287,22287
178,72437,72437,72437,14850,14850,14850,32778,32778,32778,15573,15573,15573,22383,22383,22383
179,72729,72729,72729,14920,14920,14920,32927,32927,32927,15617,15617,15617,22465,22465,22465
180,73028,73028,73028,15004,15004,15004,33075,33075,33075,15670,15670,15670,22553,22553,22553
181,73330,73330,73330,15075,15075,15075,33209,33209,33209,15727,15727,15727,22639,22639,22639
182,73609,73609,73609,15151,15151,15151,33350,33350,33350,15799,15799,15799,22729,22729,22729
183,73915,73915,73915,15223,15223,15223,33497,33497,33497,15870,15870,15870,22814,22814,22814
184,74226,74226,74226,15290,15290,15290,33658,33658,33658,15946,15946,15946,22925,22925,22925
185,74517,74517,74517,15350,15350,15350,33813,33813,33813,16021,16021,16021,23015,23015,23015
186,74809,74809,74809,15434,15434,15434,33937,33937,33937,16082,16082,16082,23121,23121,23121
187,75066,75066,75066,15497,15497,15497,34056,34056,34056,16157,16157,16157,23211,23211,23211
188,75328,75328,75328,15571,15571,15571,34194,34194,34194,16231,16231,16231,23316,23316,23316
189,75573,75573,75573,15640,15640,15640,34383,34383,34383,16293,16293,16293,23416,23416,23416
190,75880,75880,75880,15701,15701,15701,34553,34553,34553,16348,16348,16348,23514,23514,23514
191,76151,76151,76151,15769,15769,15769,34714,34714,34714,16412,16412,16412,23604,23604,23604
192,76391,76391,76391,15837,15837,15837,34863,34863,34863,16467,16467,16467,23702,23702,23702
193,76620,76620,76620,15894,15894,15894,35050,35050,35050,16541,16541,16541,23818,23818,23818
194,76895,76895,76895,15953,15953,15953,35178,35178,35178,16597,16597,16597,23918,23918,23918
195,77184,77184,77184,16023,16023,16023,35325,35325,35325,16671,16671,16671,24013,24013,24013
196,77465,77465,77465,16092,16092,16092,35476,35476,35476,16753,16753,16753,24112,24112,24112
197,77730,77730,77730,16162,16162,16162,35638,35638,35638,16817,16817,16817,24192,24192,24192
198,77980,77980,77980,16237,16237,16237,35795,35795,35795,16905,16905,16905,24281,24281,24281
199,78266,78266,78266,16317,16317,16317,35959,35959,35959,16974,16974,16974,24385,24385,24385
200,,,,16399,16399,16399,36107,36107,36107,17055,17055,17055,24473,24473,24473
